split,stem,image_path,object_count,varroa_count,has_any_object,has_varroa,has_zero_varroa,is_empty_label_file,has_invalid_yolo_row
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.2fbc38f28384959fa1869f4b6c64a86b,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.2fbc38f28384959fa1869f4b6c64a86b.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.72cdba055f5ce7f7f1c7bbbe374b00de,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.72cdba055f5ce7f7f1c7bbbe374b00de.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.9bcb4c40eaab5ab0b7c2fa2579ee2833,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.9bcb4c40eaab5ab0b7c2fa2579ee2833.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.e62a2cc9ea659f12e3dfb5dc36c33e11,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.e62a2cc9ea659f12e3dfb5dc36c33e11.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.2438174c479e14eacadb454e88c96520,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.2438174c479e14eacadb454e88c96520.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.48c03ac31595ffff7a9aea4244003be6,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.48c03ac31595ffff7a9aea4244003be6.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.a781bf87232284dc92d6058bf272aa80,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.a781bf87232284dc92d6058bf272aa80.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.da396b38a8e0b663e1b34c4762cb319c,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.da396b38a8e0b663e1b34c4762cb319c.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.3a6b47135835ee357ec684a0f5a74ea1,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.3a6b47135835ee357ec684a0f5a74ea1.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.4d61aa0f0954ce0f498ad2b38b364114,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.4d61aa0f0954ce0f498ad2b38b364114.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.91d160a2b7f8b2c332cca5a672ec3f96,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.91d160a2b7f8b2c332cca5a672ec3f96.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.f0bc3dfa0691f651993f5dc233f9d3e3,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.f0bc3dfa0691f651993f5dc233f9d3e3.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.6977845b469c234878dbe2f1d1863fc4,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.6977845b469c234878dbe2f1d1863fc4.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.71b19fbdeb97427f216856352d6263c4,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.71b19fbdeb97427f216856352d6263c4.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.9c85fd863ca4777fb85f472f5c608a13,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.9c85fd863ca4777fb85f472f5c608a13.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.e0cc57f3dbfe5376bee0b929e539ebef,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.e0cc57f3dbfe5376bee0b929e539ebef.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.390bdf22fd6d6222c6b9e19af93c0b2f,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.390bdf22fd6d6222c6b9e19af93c0b2f.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.3c6cf4c588353b65fa55a3c97aebb5e6,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.3c6cf4c588353b65fa55a3c97aebb5e6.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.5210b17a59449ba9c05fcc8f60d732ef,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.5210b17a59449ba9c05fcc8f60d732ef.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.db0422115368b6b1be8c69e70a3fbd8f,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.db0422115368b6b1be8c69e70a3fbd8f.jpg,0,0,False,False,True,True,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6717-2130-1_png_jpg.rf.03fc3e763334a00640a5a5a236a94dbd,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6717-2130-1_png_jpg.rf.03fc3e763334a00640a5a5a236a94dbd.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6717-2130-1_png_jpg.rf.9ad297146bacdeebaa2e652e623ae020,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6717-2130-1_png_jpg.rf.9ad297146bacdeebaa2e652e623ae020.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6717-2130-1_png_jpg.rf.9e85db3644d6eb7065d9a8522bccf976,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6717-2130-1_png_jpg.rf.9e85db3644d6eb7065d9a8522bccf976.jpg,1,1,True,True,False,False,False
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6717-2130-1_png_jpg.rf.a00d07d5b0665a56402e37267b8f62ae,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6717-2130-1_png_jpg.rf.a00d07d5b0665a56402e37267b8f62ae.jpg,1,1,True,True,False,False,False
