split,stem,label_path,label_size_bytes,issue
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.2fbc38f28384959fa1869f4b6c64a86b,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.2fbc38f28384959fa1869f4b6c64a86b.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.72cdba055f5ce7f7f1c7bbbe374b00de,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6698-165-1_png_jpg.rf.72cdba055f5ce7f7f1c7bbbe374b00de.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.2438174c479e14eacadb454e88c96520,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.2438174c479e14eacadb454e88c96520.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.a781bf87232284dc92d6058bf272aa80,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6700-180-1_png_jpg.rf.a781bf87232284dc92d6058bf272aa80.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.91d160a2b7f8b2c332cca5a672ec3f96,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.91d160a2b7f8b2c332cca5a672ec3f96.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.f0bc3dfa0691f651993f5dc233f9d3e3,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6701-420-1_png_jpg.rf.f0bc3dfa0691f651993f5dc233f9d3e3.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.9c85fd863ca4777fb85f472f5c608a13,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.9c85fd863ca4777fb85f472f5c608a13.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.e0cc57f3dbfe5376bee0b929e539ebef,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6703-525-1_png_jpg.rf.e0cc57f3dbfe5376bee0b929e539ebef.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.3c6cf4c588353b65fa55a3c97aebb5e6,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.3c6cf4c588353b65fa55a3c97aebb5e6.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.db0422115368b6b1be8c69e70a3fbd8f,data/raw/dataset2_honeybee/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6712-1410-1_png_jpg.rf.db0422115368b6b1be8c69e70a3fbd8f.txt,0,empty_label_file
