dataset_name,split,source_image_path,source_label_path,record_type,exclusion_level,exclusion_reason,row_index,class_id,class_name,bbox_x_center_norm,bbox_y_center_norm,bbox_width_norm,bbox_height_norm,bbox_area_px,notes
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10208-61350-1_png.rf.d51739315e3afbff4ff42b4440638c1d.jpg,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10208-61350-1_png.rf.d51739315e3afbff4ff42b4440638c1d.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.47890625,0.496875,0.27578125,0.11015625,12443.25,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10329-66015-1_png.rf.5ed88f8c5737b624d666bc977b4096b0.jpg,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10329-66015-1_png.rf.5ed88f8c5737b624d666bc977b4096b0.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.3609375,0.62578125,0.2734375,0.13828125,15487.5,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10334-66195-1_png.rf.ed8372bede5570ec0e6992f13927d30e.jpg,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10334-66195-1_png.rf.ed8372bede5570ec0e6992f13927d30e.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.303125,0.63359375,0.25234375,0.14296875,14777.25,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10355-69990-1_png.rf.24ffcc736b2898f103df2b103498017b.jpg,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10355-69990-1_png.rf.24ffcc736b2898f103df2b103498017b.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.20703125,0.6328125,0.22109375,0.15625,14150.0,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_10963-100605-1_png.rf.1977d89ddb0b9fd52bd04e04daef6f1e.jpg,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_10963-100605-1_png.rf.1977d89ddb0b9fd52bd04e04daef6f1e.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.7109375,0.41328125,0.24453125,0.1265625,12676.5,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_11006-102135-1_png.rf.4a58458214955e3938eca5b3d60c72f1.jpg,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_11006-102135-1_png.rf.4a58458214955e3938eca5b3d60c72f1.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.4046875,0.3875,0.2578125,0.14140625,14932.5,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_9281-6990-1_png.rf.6f368deafa9fb580aee37ada049ef1e9.jpg,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_9281-6990-1_png.rf.6f368deafa9fb580aee37ada049ef1e9.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.4140625,0.58125,0.21328125,0.14140625,12353.25,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-08-30_15-42-59-mp4-bee_id_9481-26475-1_png.rf.6b40b047ddf666e928fb71ec54c3b48b.jpg,data/raw/dataset1_varroa/train/labels/2017-08-30_15-42-59-mp4-bee_id_9481-26475-1_png.rf.6b40b047ddf666e928fb71ec54c3b48b.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.72109375,0.58828125,0.1875,0.16484375,12660.0,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_2980-4695-1_png.rf.c867592211c899c92e2d6b3fd971ec17.jpg,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_2980-4695-1_png.rf.c867592211c899c92e2d6b3fd971ec17.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.38828125,0.6078125,0.23984375,0.1265625,12433.5,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_3194-10995-1_png.rf.e9fcb2bad3e8a79845f00c46fed25504.jpg,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_3194-10995-1_png.rf.e9fcb2bad3e8a79845f00c46fed25504.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,0.0,1.0,varroa,0.5,0.4796875,1.0,0.85703125,351040.0,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_4000-33255-1_png.rf.35c64b477434b9ac00f9a7a7027758cf.jpg,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_4000-33255-1_png.rf.35c64b477434b9ac00f9a7a7027758cf.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.41796875,0.565625,0.23671875,0.1484375,14392.5,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_4002-33330-1_png.rf.11b0df1196095469efd9fbee60f97167.jpg,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_4002-33330-1_png.rf.11b0df1196095469efd9fbee60f97167.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.37734375,0.540625,0.25,0.13828125,14160.0,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_4013-33600-1_png.rf.3e8068a60976cab04ccffed835fc666a.jpg,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_4013-33600-1_png.rf.3e8068a60976cab04ccffed835fc666a.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.33203125,0.5375,0.2890625,0.11328125,13412.5,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_4417-44880-1_png.rf.aa8e9767f904deb25986cc28f1361449.jpg,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_4417-44880-1_png.rf.aa8e9767f904deb25986cc28f1361449.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.4671875,0.60234375,0.2421875,0.1265625,12555.0,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_4521-47790-1_png.rf.9b0fdf14d2ca87801fd7e8a2a718a216.jpg,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_4521-47790-1_png.rf.9b0fdf14d2ca87801fd7e8a2a718a216.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.34765625,0.5671875,0.2421875,0.13125,13020.0,Excluded from positive patch generation.
dataset1_varroa,train,data/raw/dataset1_varroa/train/images/2017-09-20_19-24-55-mp4-bee_id_4645-51435-1_png.rf.60b1e9cbcb0463849a743376b4d93b5d.jpg,data/raw/dataset1_varroa/train/labels/2017-09-20_19-24-55-mp4-bee_id_4645-51435-1_png.rf.60b1e9cbcb0463849a743376b4d93b5d.txt,bbox,bbox,dataset_specific_extreme_bbox_candidate,1.0,1.0,varroa,0.2359375,0.559375,0.23671875,0.13671875,13256.25,Excluded from positive patch generation.
