dataset_name,split,patch_size,patch_type,source_image_path,figure_path
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-25_16-03-38-mp4-bee_id_928-31980-1_png_jpg.rf.86d55f00a47e14cc6c77ccb0c7476c58.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-20_19-24-55-mp4-bee_id_5508-75630-1_png_jpg.rf.4cac9f988f1086430324082b14d28f16.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_7691-61455-1_png_jpg.rf.d367dd260979b1e640aa9cebc0e82bf1.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-25_16-03-38-mp4-bee_id_442-14880-1_png_jpg.rf.6041db57ee69c36fa80faa2ff4e891c1.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-20_19-24-55-mp4-bee_id_6444-101265-1_png_jpg.rf.592620c2cfe7b95e4cbc2a5e28ae7a34.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-10-17_1-39-36-mp4-bee_id_4380-25620-1_png_jpg.rf.34bb69dc49c2c05edfbe35f2bd989c86.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-01_10-54-26-mp4-bee_id_9054-105465-1_png_jpg.rf.b74cf80a4586b2a33caaa39ab859aa92.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-01_10-54-26-mp4-bee_id_8062-33660-1_png_jpg.rf.db02dba7df6252ccf1274a5f3cbcf6ea.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-20_19-24-55-mp4-bee_id_4534-48270-1_png_jpg.rf.378d1fd4026a8a1f304887315dcd3145.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-20_19-24-55-mp4-bee_id_4786-55185-1_png_jpg.rf.03ee8a2c4bbbd6adea4f6d308901e5b5.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-01_10-54-26-mp4-bee_id_8591-85545-1_png_jpg.rf.8e2c3b718c7db92ab536ba42914bbb76.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,positive,data/raw/dataset2_honeybee/train/images/2017-09-20_19-24-55-mp4-bee_id_6584-104985-1_png_jpg.rf.3e3e38dfbc132e728d6b5dc26e7a041e.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_positive.png
dataset2_honeybee,train,48,center_negative,data/raw/dataset2_honeybee/train/images/2017-09-01_3-01-01-mp4-bee_id_2526-64470-1_png_jpg.rf.a0ac4c1f328239b34c621cf3762216d5.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_center_negative.png
dataset2_honeybee,train,48,center_negative,data/raw/dataset2_honeybee/train/images/2017-09-20_19-24-55-mp4-bee_id_5529-76065-1_png_jpg.rf.d9b94dc35ddc4fd95e0259408f268775.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_center_negative.png
dataset2_honeybee,train,48,center_negative,data/raw/dataset2_honeybee/train/images/2017-09-01_10-54-26-mp4-bee_id_8043-33000-1_png_jpg.rf.37719fc096fffa325d7ed74ce82bcfd9.jpg,approaches/traditional_ml/outputs/02_patch_preparation/outputs/02_dataset2_honeybee_patch_preparation/figures/sanity_dataset2_train_48_center_negative.png
