dataset_name,image_path,label_path,image_id,image_width,image_height,gt_count,invalid_yolo_row_count,readable,selected_source
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6642-60-1_png.rf.306f5e91ebbc91acd0f71c6493cedc1f.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6642-60-1_png.rf.306f5e91ebbc91acd0f71c6493cedc1f.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6642-60-1_png.rf.306f5e91ebbc91acd0f71c6493cedc1f,640,640,3,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6655-270-1_png.rf.b090f2e59e32882da1297546a53e8904.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6655-270-1_png.rf.b090f2e59e32882da1297546a53e8904.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6655-270-1_png.rf.b090f2e59e32882da1297546a53e8904,640,640,3,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6661-420-1_png.rf.f8b99d35c7204e8a827c237a6025dada.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6661-420-1_png.rf.f8b99d35c7204e8a827c237a6025dada.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6661-420-1_png.rf.f8b99d35c7204e8a827c237a6025dada,640,640,1,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6667-540-1_png.rf.d4bd92c7c0361d4df02b8e938cc933e8.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6667-540-1_png.rf.d4bd92c7c0361d4df02b8e938cc933e8.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6667-540-1_png.rf.d4bd92c7c0361d4df02b8e938cc933e8,640,640,1,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6668-585-1_png.rf.a0314ff21ef9977213d1acde0982db1a.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6668-585-1_png.rf.a0314ff21ef9977213d1acde0982db1a.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6668-585-1_png.rf.a0314ff21ef9977213d1acde0982db1a,640,640,0,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6674-645-1_png.rf.378ef55e7eee20f76b193553ca48bd03.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6674-645-1_png.rf.378ef55e7eee20f76b193553ca48bd03.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6674-645-1_png.rf.378ef55e7eee20f76b193553ca48bd03,640,640,3,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6675-645-1_png.rf.ea22e0215e25dd1c26c738e8a6e136dc.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6675-645-1_png.rf.ea22e0215e25dd1c26c738e8a6e136dc.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6675-645-1_png.rf.ea22e0215e25dd1c26c738e8a6e136dc,640,640,3,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6676-660-1_png.rf.dd367075c6d5a07bf3cd2c0922820983.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6676-660-1_png.rf.dd367075c6d5a07bf3cd2c0922820983.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6676-660-1_png.rf.dd367075c6d5a07bf3cd2c0922820983,640,640,0,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6680-795-1_png.rf.401b57e09f19d42de76e61630bae8c71.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6680-795-1_png.rf.401b57e09f19d42de76e61630bae8c71.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6680-795-1_png.rf.401b57e09f19d42de76e61630bae8c71,640,640,0,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6682-825-1_png.rf.fdad0f2595a9799bf9cc121f73ac179b.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6682-825-1_png.rf.fdad0f2595a9799bf9cc121f73ac179b.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6682-825-1_png.rf.fdad0f2595a9799bf9cc121f73ac179b,640,640,3,0,True,approaches/traditional_ml/inputs/09_detection_tuning/large_valid_subset_700__dataset1_varroa__selected_images.csv
