dataset_name,image_path,label_path,image_id,image_width,image_height,gt_count,invalid_yolo_row_count,readable,controlled_gt_count_group,selected_source
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6650-135-1_png.rf.047c14f973569c152a100f8b2a445a5b.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6650-135-1_png.rf.047c14f973569c152a100f8b2a445a5b.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6650-135-1_png.rf.047c14f973569c152a100f8b2a445a5b,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6654-165-1_png.rf.7324953024112f73fc22741e368b22da.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6654-165-1_png.rf.7324953024112f73fc22741e368b22da.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6654-165-1_png.rf.7324953024112f73fc22741e368b22da,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6658-315-1_png.rf.7cc90404c87d09a3000730cd2b3a723e.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6658-315-1_png.rf.7cc90404c87d09a3000730cd2b3a723e.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6658-315-1_png.rf.7cc90404c87d09a3000730cd2b3a723e,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6660-405-1_png.rf.42a2389b77fcdf595608354e175b4d90.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6660-405-1_png.rf.42a2389b77fcdf595608354e175b4d90.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6660-405-1_png.rf.42a2389b77fcdf595608354e175b4d90,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6661-420-1_png.rf.f8b99d35c7204e8a827c237a6025dada.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6661-420-1_png.rf.f8b99d35c7204e8a827c237a6025dada.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6661-420-1_png.rf.f8b99d35c7204e8a827c237a6025dada,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6667-540-1_png.rf.d4bd92c7c0361d4df02b8e938cc933e8.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6667-540-1_png.rf.d4bd92c7c0361d4df02b8e938cc933e8.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6667-540-1_png.rf.d4bd92c7c0361d4df02b8e938cc933e8,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6671-615-1_png.rf.d85ab1518a73dd54d19484b40a734e1a.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6671-615-1_png.rf.d85ab1518a73dd54d19484b40a734e1a.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6671-615-1_png.rf.d85ab1518a73dd54d19484b40a734e1a,640,640,3,0,True,two_or_more,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6674-645-1_png.rf.378ef55e7eee20f76b193553ca48bd03.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6674-645-1_png.rf.378ef55e7eee20f76b193553ca48bd03.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6674-645-1_png.rf.378ef55e7eee20f76b193553ca48bd03,640,640,3,0,True,two_or_more,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6680-795-1_png.rf.401b57e09f19d42de76e61630bae8c71.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6680-795-1_png.rf.401b57e09f19d42de76e61630bae8c71.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6680-795-1_png.rf.401b57e09f19d42de76e61630bae8c71,640,640,0,0,True,zero,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6681-795-1_png.rf.485c1c93c261dc4b919595c9e42fd323.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6681-795-1_png.rf.485c1c93c261dc4b919595c9e42fd323.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6681-795-1_png.rf.485c1c93c261dc4b919595c9e42fd323,640,640,4,0,True,two_or_more,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6682-825-1_png.rf.fdad0f2595a9799bf9cc121f73ac179b.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6682-825-1_png.rf.fdad0f2595a9799bf9cc121f73ac179b.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6682-825-1_png.rf.fdad0f2595a9799bf9cc121f73ac179b,640,640,3,0,True,two_or_more,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6686-900-1_png.rf.4ecc0a9fcffae2d5618e5244dec40555.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6686-900-1_png.rf.4ecc0a9fcffae2d5618e5244dec40555.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6686-900-1_png.rf.4ecc0a9fcffae2d5618e5244dec40555,640,640,3,0,True,two_or_more,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6687-915-1_png.rf.2d40ad470f8c36f01220ccee7fc7dde2.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6687-915-1_png.rf.2d40ad470f8c36f01220ccee7fc7dde2.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6687-915-1_png.rf.2d40ad470f8c36f01220ccee7fc7dde2,640,640,3,0,True,two_or_more,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6690-930-1_png.rf.4f7654d9657985c78c12294a298b4cf3.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6690-930-1_png.rf.4f7654d9657985c78c12294a298b4cf3.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6690-930-1_png.rf.4f7654d9657985c78c12294a298b4cf3,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-08-28_16-32-55_30_sec-mp4-bee_id_6694-975-1_png.rf.2ec98201f2735706e3871e95ecb08f8f.jpg,data/raw/dataset1_varroa/valid/labels/2017-08-28_16-32-55_30_sec-mp4-bee_id_6694-975-1_png.rf.2ec98201f2735706e3871e95ecb08f8f.txt,2017-08-28_16-32-55_30_sec-mp4-bee_id_6694-975-1_png.rf.2ec98201f2735706e3871e95ecb08f8f,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-09-01_20-00-17-mp4-bee_id_1-15-1_png.rf.a68b1e6d0ae900f5c9093f7417c188e3.jpg,data/raw/dataset1_varroa/valid/labels/2017-09-01_20-00-17-mp4-bee_id_1-15-1_png.rf.a68b1e6d0ae900f5c9093f7417c188e3.txt,2017-09-01_20-00-17-mp4-bee_id_1-15-1_png.rf.a68b1e6d0ae900f5c9093f7417c188e3,640,640,0,0,True,zero,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-09-01_20-00-17-mp4-bee_id_102-43095-1_png.rf.b76056f3f830b935392906ca1a8fc812.jpg,data/raw/dataset1_varroa/valid/labels/2017-09-01_20-00-17-mp4-bee_id_102-43095-1_png.rf.b76056f3f830b935392906ca1a8fc812.txt,2017-09-01_20-00-17-mp4-bee_id_102-43095-1_png.rf.b76056f3f830b935392906ca1a8fc812,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-09-01_20-00-17-mp4-bee_id_105-43245-1_png.rf.ff55609806d9d164a468f33ace3492fd.jpg,data/raw/dataset1_varroa/valid/labels/2017-09-01_20-00-17-mp4-bee_id_105-43245-1_png.rf.ff55609806d9d164a468f33ace3492fd.txt,2017-09-01_20-00-17-mp4-bee_id_105-43245-1_png.rf.ff55609806d9d164a468f33ace3492fd,640,640,0,0,True,zero,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-09-01_20-00-17-mp4-bee_id_106-43335-1_png.rf.982e2734a404c0a3d4109986e1949788.jpg,data/raw/dataset1_varroa/valid/labels/2017-09-01_20-00-17-mp4-bee_id_106-43335-1_png.rf.982e2734a404c0a3d4109986e1949788.txt,2017-09-01_20-00-17-mp4-bee_id_106-43335-1_png.rf.982e2734a404c0a3d4109986e1949788,640,640,0,0,True,zero,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-09-01_20-00-17-mp4-bee_id_108-43485-1_png.rf.e6337a16854ebd5ce4c6ea51f139ed2c.jpg,data/raw/dataset1_varroa/valid/labels/2017-09-01_20-00-17-mp4-bee_id_108-43485-1_png.rf.e6337a16854ebd5ce4c6ea51f139ed2c.txt,2017-09-01_20-00-17-mp4-bee_id_108-43485-1_png.rf.e6337a16854ebd5ce4c6ea51f139ed2c,640,640,1,0,True,one,controlled_equal_gt_count_sampling
dataset1_varroa,data/raw/dataset1_varroa/valid/images/2017-09-01_20-00-17-mp4-bee_id_109-43590-1_png.rf.317a88a56df769dec66a4b6da4933ab0.jpg,data/raw/dataset1_varroa/valid/labels/2017-09-01_20-00-17-mp4-bee_id_109-43590-1_png.rf.317a88a56df769dec66a4b6da4933ab0.txt,2017-09-01_20-00-17-mp4-bee_id_109-43590-1_png.rf.317a88a56df769dec66a4b6da4933ab0,640,640,0,0,True,zero,controlled_equal_gt_count_sampling
