split,stem,label_path,label_size_bytes,issue
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6697-30-1_png.rf.08db7094d1cefe766f46c2f8151787a4,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6697-30-1_png.rf.08db7094d1cefe766f46c2f8151787a4.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6702-450-1_png.rf.0989d312fadd8e721d7014bc76e573bf,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6702-450-1_png.rf.0989d312fadd8e721d7014bc76e573bf.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6704-735-1_png.rf.bb8a595b1efed0899ddec389d319061d,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6704-735-1_png.rf.bb8a595b1efed0899ddec389d319061d.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6705-915-1_png.rf.c71eb77a6b847326295ed0746fd5230b,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6705-915-1_png.rf.c71eb77a6b847326295ed0746fd5230b.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6708-1170-1_png.rf.bf2b291bf9cde7ab0f7758e5a298a272,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6708-1170-1_png.rf.bf2b291bf9cde7ab0f7758e5a298a272.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6715-1725-1_png.rf.5f637a0210073bed33312e86d2645836,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6715-1725-1_png.rf.5f637a0210073bed33312e86d2645836.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6725-4290-1_png.rf.11048da7e80b78b67e3ed6f5b142a3a4,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6725-4290-1_png.rf.11048da7e80b78b67e3ed6f5b142a3a4.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6726-4305-1_png.rf.bde29306b43a4ea44c6a25af9d59a33d,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6726-4305-1_png.rf.bde29306b43a4ea44c6a25af9d59a33d.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6732-9270-1_png.rf.5cf1a6e64587d686a2ac55a535b5e466,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6732-9270-1_png.rf.5cf1a6e64587d686a2ac55a535b5e466.txt,0,empty_label_file
train,2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6736-10635-1_png.rf.e25e55b6b566f074dc5d2e4f4645c90f,data/raw/dataset3_external/train/labels/2017-08-28_09-30-00-1_500_dirty_glass-mp4-bee_id_6736-10635-1_png.rf.e25e55b6b566f074dc5d2e4f4645c90f.txt,0,empty_label_file
